eventname,name,not_attending,selected_menu,facility_name,facility_type,event date,created_at,days,Workdays,event type,  value  ,  menu_price ,capacity,,,
PBR AUSTRALIAN NATIONAL FINALS,Datacom Systems,,,Suite 37,Suite,19/07/2014 19:30,29:28.1,4,4,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Erebus Motorsports,,,Suite 17,Suite,19/07/2014 19:30,07:58.4,11,9,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Fujitsu,,Menu One,Suite 32,Suite,19/07/2014 19:30,12:28.4,12,10,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Hyundai,,Menu One,Suite 15,Suite,19/07/2014 19:30,56:48.9,9,7,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,ICG Group,,,Suite 49,Suite,19/07/2014 19:30,13:17.0,12,10,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Impact Bricklaying,,,Suite 51,Suite,19/07/2014 19:30,41:57.5,11,9,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Nine Events,,,Suite 28,Suite,19/07/2014 19:30,33:16.6,5,5,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Nine Events,,,Suite 48,Suite,19/07/2014 19:30,57:07.8,5,5,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Nova Entertainment,TRUE,,Suite 42,Suite,19/07/2014 19:30,42:10.2,4,3,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,NRMA,,,Suite 43,Suite,19/07/2014 19:30,45:23.6,4,3,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,NSW Rugby League,,Menu One,Suite 50,Suite,19/07/2014 19:30,38:21.4,5,5,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Panasonic,,,Suite 40,Suite,19/07/2014 19:30,53:37.7,12,10,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Qantas,TRUE,,Suite 20,Suite,19/07/2014 19:30,31:28.5,10,7,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,RBC Capital Markets,,,Suite 24,Suite,19/07/2014 19:30,04:25.3,3,3,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Schweppes,,Menu One,Suite 36,Suite,19/07/2014 19:30,21:14.2,10,8,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Sony Music,TRUE,,Suite 46,Suite,19/07/2014 19:30,07:53.3,4,4,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Star Scientific,TRUE,,Suite 23,Suite,19/07/2014 19:30,22:05.9,5,5,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Telstra,,Menu One,Suite 33,Suite,19/07/2014 19:30,36:29.1,8,6,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,The Technical Direction Company,TRUE,,Suite 29,Suite,19/07/2014 19:30,03:57.4,4,4,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,TICA,,,Suite 26,Suite,19/07/2014 19:30,44:35.3,10,8,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,TNT,,Menu One,Suite 38,Suite,19/07/2014 19:30,27:05.3,11,9,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Toyota Eastern Region,,Menu One,Suite 10,Suite,19/07/2014 19:30,25:50.0,8,6,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Toyota Fleet,,Menu One,Suite 11,Suite,19/07/2014 19:30,11:46.7,10,8,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Veolia,,Menu One,Suite 45,Suite,19/07/2014 19:30,47:27.4,11,9,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Vero Insurance Limited,,,Suite 22,Suite,19/07/2014 19:30,47:35.9,11,9,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Visa Entertainment,TRUE,,Suite 27,Suite,19/07/2014 19:30,51:41.5,12,10,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Visy Board,,Menu One,Suite 21,Suite,19/07/2014 19:30,15:26.1,5,5,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Wakeling Automative,,,Suite 31,Suite,19/07/2014 19:30,47:31.4,8,6,Live Event,$0.00, $-   ,18,,,
WWE,Toyota Eastern Region,,Menu Two,Suite 10,Suite,8/08/2014 19:30,2014-07-28 05:29:08.627828+00,11,10,Sports,"$1,170.00", $65.00 ,18,,,
WWE,Toyota Fleet,,Menu Two,Suite 11,Suite,8/08/2014 19:30,2014-07-27 23:28:47.801479+00,11,10,Sports,"$1,170.00", $65.00 ,18,,,
WWE,Allphones Arena,,Menu Two,Suite 13,Suite,8/08/2014 19:30,2014-07-28 23:52:57.231846+00,10,9,Sports,"$1,170.00", $65.00 ,18,107,,
WWE,American Express,,Menu One,Suite 14,Suite,2014-08-08 19:30:00+00,2014-07-29 04:17:07.493224+00,10,9,Sports,"$1,350.00", $75.00 ,18,,,
WWE,Hyundai,,Menu Two,Suite 15,Suite,8/08/2014 19:30,48:43.7,14,11,Sports,"$1,170.00", $65.00 ,18,,,
WWE,Erebus Motorsports,,,Suite 17,Suite,2014-08-08 19:30:00+00,2014-07-29 00:07:43.511558+00,10,9,Sports,$0.00, $-   ,18,108,,
WWE,Audi Australia,,Menu Two,Suite 18,Suite,8/08/2014 19:30,2014-07-28 06:48:06.05335+00,11,10,Sports,"$1,170.00", $65.00 ,18,,,
WWE,Austeire,,,Suite 19,Suite,8/08/2014 19:30,34:56.1,16,13,Sports,$0.00, $-   ,18,,,
WWE,Qantas,,,Suite 20,Suite,8/08/2014 19:30,47:29.0,16,13,Sports,$0.00, $-   ,18,,,
WWE,Visy Board,,Menu Two,Suite 21,Suite,8/08/2014 19:30,37:09.3,14,11,Sports,"$1,170.00", $65.00 ,18,,,
WWE,Vero Insurance Limited,,,Suite 22,Suite,2014-08-08 19:30:00+00,2014-07-29 04:55:14.749418+00,10,9,Sports,$0.00, $-   ,18,,,
WWE,Star Scientific,TRUE,,Suite 23,Suite,8/08/2014 19:30,2014-07-27 22:07:50.130123+00,11,10,Sports,$0.00, $-   ,18,,,
WWE,RBC Capital Markets,,,Suite 24,Suite,2014-08-08 19:30:00+00,2014-07-31 06:08:03.594116+00,8,7,Sports,$0.00, $-   ,18,,,
WWE,Big Picture,,,Suite 25,Suite,8/08/2014 19:30,26:46.9,14,11,Sports,$0.00, $-   ,18,,,
WWE,TICA,,,Suite 26,Suite,8/08/2014 19:30,2014-07-28 07:20:00.384446+00,11,10,Sports,$0.00, $-   ,18,105,,
WWE,Nine Events,,,Suite 28,Suite,8/08/2014 19:30,2014-07-27 23:25:30.367461+00,11,10,Sports,$0.00, $-   ,18,,,
WWE,The Technical Direction Company,,,Suite 29,Suite,8/08/2014 19:30,2014-07-27 22:41:11.679285+00,11,10,Sports,$0.00, $-   ,18,,,
WWE,Wakeling Automative,,Menu One,Suite 31,Suite,8/08/2014 19:30,47:29.0,16,13,Sports,"$1,350.00", $75.00 ,18,,,
WWE,Telstra,,Menu Two,Suite 33,Suite,8/08/2014 19:30,2014-07-25 05:24:13.375975+00,14,11,Sports,"$1,170.00", $65.00 ,18,,,
WWE,2GB,,Menu One,Suite 35,Suite,8/08/2014 19:30,20:09.9,14,11,Sports,"$1,350.00", $75.00 ,18,,,
WWE,Schweppes,,,Suite 36,Suite,8/08/2014 19:30,2014-07-28 08:17:54.698559+00,11,10,Sports,$0.00, $-   ,18,106,,
WWE,Datacom Systems,,,Suite 37,Suite,8/08/2014 19:30,2014-07-27 23:12:53.934102+00,11,10,Sports,$0.00, $-   ,18,,,
WWE,TNT,,Menu Two,Suite 38,Suite,2014-08-08 19:30:00+00,2014-07-29 08:22:59.288505+00,10,9,Sports,"$1,170.00", $65.00 ,18,,,
WWE,Panasonic,,,Suite 40,Suite,2014-08-08 19:30:00+00,2014-07-30 23:04:42.476259+00,8,7,Sports,$0.00, $-   ,18,,,
WWE,Nova Entertainment,,,Suite 42,Suite,8/08/2014 19:30,2014-07-27 22:20:54.482683+00,11,10,Sports,$0.00, $-   ,18,,,603
WWE,NRMA,,,Suite 43,Suite,2014-08-08 19:30:00+00,2014-07-30 23:31:45.66421+00,8,7,Sports,$0.00, $-   ,18,,,
WWE,Veolia,,,Suite 45,Suite,2014-08-08 19:30:00+00,2014-07-31 07:03:30.64828+00,8,7,Sports,$0.00, $-   ,18,,,
WWE,Bauer Media Group,,Menu Two,Suite 47,Suite,8/08/2014 19:30,2014-07-28 01:35:45.61585+00,11,10,Sports,"$1,170.00", $65.00 ,18,,,
WWE,Nine Events,,,Suite 48,Suite,8/08/2014 19:30,2014-07-27 23:24:52.381255+00,11,10,Sports,$0.00, $-   ,18,,,
WWE,ICG Group,,,Suite 49,Suite,2014-08-08 19:30:00+00,2014-07-31 02:24:14.011794+00,8,7,Sports,$0.00, $-   ,18,,,
WWE,NSW Rugby League,,Menu Two,Suite 50,Suite,8/08/2014 19:30,33:10.3,16,13,Sports,"$1,170.00", $65.00 ,18,,,
WWE,Impact Bricklaying,,,Suite 51,Suite,8/08/2014 19:30,2014-07-27 10:55:02.071877+00,11,10,Sports,$0.00, $-   ,18,,,
WWE,Bank Of Queensland,,,Suite 9,Suite,2014-08-08 19:30:00+00,2014-07-29 04:52:10.676264+00,10,9,Sports,$0.00, $-   ,18,,,
WWE,Blacktown Workers Club,,,Suite 34,Suite,2014-08-08 19:30:00+00,2014-07-31 12:49:05.835577+00,8,6,Sports,$0.00, $-   ,18,,,
WWE,Fujitsu,,Menu Two,Suite 32,Suite,2014-08-08 19:30:00+00,2014-08-01 02:10:03.614282+00,7,6,Live Event,"$1,170.00",$65.00,18,,,
WWE,Acer Computers,,,Suite 41,Suite,2014-08-08 19:30:00+00,2014-08-01 05:34:31.003606+00,7,6,Live Event,$0.00,$0.00,18,,,
